order_id,order_date,customer_id,product_id,category,subcategory,quantity,unit_price,discount,sales,cost,profit,region,segment,order_hour,payment_method,rating,cancelled
O100001,2023-10-13 02:35:00,C00037,P0028,Clothing,Men,1,293.32,0,293.32,275.83,17.49,South,Consumer,2,Credit Card,3.0,False
O100002,2022-03-02 10:56:00,C00340,P0137,Grocery,Beverages,2,185.41,0,370.82,255.18,115.64,West,Corporate,10,Debit Card,1.0,False
O100003,2023-07-15 04:49:00,C00246,P0005,Home & Kitchen,Furniture,1,271.9,0,271.9,183.9,88.0,North,Consumer,4,Credit Card,,False
O100004,2023-04-18 19:14:00,C00570,P0024,Clothing,Men,1,129.03,0,129.03,77.77,51.26,North,Consumer,19,Credit Card,3.0,False
O100005,2024-08-18 22:41:00,C00082,P0074,Sports,Indoor,1,487.76,5,482.76,339.44,143.32,South,Corporate,22,Debit Card,5.0,False
O100006,2022-03-08 13:48:00,C00699,P0041,Clothing,Women,1,388.62,5,383.62,237.0,146.62,North,Home Office,13,Credit Card,4.0,False
O100007,2023-02-23 02:11:00,C00540,P0062,Electronics,Mobile,1,429.95,5,424.95,378.47,46.48,East,Consumer,2,UPI,2.0,False
O100008,2024-05-25 12:49:00,C00759,P0136,Toys,Action Figures,2,485.99,5,966.98,643.96,323.02,East,Home Office,12,UPI,5.0,False
O100009,2022-03-20 16:06:00,C00412,P0130,Grocery,Staples,1,239.58,0,239.58,178.39,61.19,South,Consumer,16,Netbanking,5.0,False
O100010,2022-03-22 17:24:00,C00507,P0082,Beauty,Makeup,1,291.42,0,291.42,233.9,57.52,South,Consumer,17,Credit Card,4.0,False
O100011,2023-08-09 14:10:00,C00104,P0042,Beauty,Skin Care,2,320.56,0,641.12,366.34,274.78,Central,Consumer,14,UPI,2.0,False
O100012,2024-07-14 02:46:00,C00637,P0095,Toys,Educational,2,252.95,10,495.9,362.6,133.3,South,Consumer,2,Wallet,4.0,False
O100013,2024-04-26 10:28:00,C00797,P0054,Home & Kitchen,Kitchen Appliances,1,373.4,10,363.4,280.75,82.65,East,Consumer,10,Netbanking,2.0,False
O100014,2022-07-04 08:20:00,C00242,P0123,Toys,Educational,1,468.34,0,468.34,290.81,177.53,South,Consumer,8,Credit Card,3.0,False
O100015,2022-06-24 16:45:00,C00350,P0048,Sports,Indoor,1,384.16,10,374.16,282.95,91.21,South,Consumer,16,UPI,5.0,False
O100016,2022-03-31 05:58:00,C00102,P0064,Grocery,Snacks,2,156.46,15,297.92,242.7,55.22,North,Corporate,5,Netbanking,5.0,False
O100017,2022-04-16 13:19:00,C00244,P0012,Toys,Action Figures,1,231.9,5,226.9,166.99,59.91,South,Consumer,13,Credit Card,5.0,False
O100018,2023-02-20 00:39:00,C00757,P0030,Grocery,Staples,1,265.0,5,260.0,155.88,104.12,West,Consumer,0,Netbanking,4.0,True
O100019,2024-10-07 07:13:00,C00586,P0044,Home & Kitchen,Decor,1,263.87,5,258.87,176.48,82.39,North,Corporate,7,Debit Card,5.0,False
O100020,2023-05-17 17:17:00,C00514,P0115,Toys,Action Figures,2,276.92,0,553.84,374.82,179.02,West,Home Office,17,Credit Card,5.0,False
O100021,2022-03-17 04:54:00,C00154,P0005,Home & Kitchen,Furniture,1,271.9,10,261.9,183.9,78.0,West,Consumer,4,Credit Card,2.0,False
O100022,2024-05-03 05:10:00,C00761,P0019,Toys,Puzzles,2,191.04,15,367.08,272.04,95.04,Central,Consumer,5,UPI,4.0,False
O100023,2024-07-21 23:37:00,C00135,P0076,Home & Kitchen,Kitchen Appliances,1,378.7,0,378.7,258.69,120.01,South,Home Office,23,UPI,5.0,False
O100024,2022-05-19 13:53:00,C00047,P0095,Toys,Educational,1,252.95,5,247.95,181.3,66.65,South,Home Office,13,Credit Card,4.0,False
O100025,2024-04-27 16:13:00,C00663,P0026,Home & Kitchen,Kitchen Appliances,1,313.31,0,313.31,183.26,130.05,Central,Consumer,16,Debit Card,,False
O100026,2022-06-29 15:46:00,C00154,P0049,Home & Kitchen,Furniture,1,290.05,15,275.05,216.52,58.53,West,Consumer,15,Credit Card,4.0,False
O100027,2023-12-26 04:39:00,C00637,P0034,Toys,Puzzles,2,173.07,15,331.14,200.28,130.86,South,Consumer,4,UPI,4.0,False
O100028,2023-04-22 22:18:00,C00706,P0006,Beauty,Skin Care,1,271.9,0,271.9,198.22,73.68,North,Consumer,22,Debit Card,3.0,False
